Comune,PopolazioneTotale,Provincia,SiglaProvincia
Sciacca,38967,AGRIGENTO,AG
Sciara,2524,PALERMO,PA
Scicli,26854,RAGUSA,RG
Scillato,591,PALERMO,PA
Sclafani Bagni,375,PALERMO,PA
Scordia,16042,CATANIA,CT
Sinagra,2474,MESSINA,ME
Solarino,7513,SIRACUSA,SR
Sutera,1178,CALTANISSETTA,CL
Taormina,10471,MESSINA,ME
Trecastagni,11265,CATANIA,CT
Tremestieri Etneo,19557,CATANIA,CT
Valledolmo,3174,PALERMO,PA
Vallelunga Pratameno,3113,CALTANISSETTA,CL
Santa Teresa Di Riva,9335,MESSINA,ME
Santa Venerina,8452,CATANIA,CT
Sant'Agata Di Militello,11866,MESSINA,ME
Sant'Agata Li Battiati,9351,CATANIA,CT
Sant'Alessio Siculo,1544,MESSINA,ME
Sant'Alfio,1509,CATANIA,CT
Sant'Angelo Di Brolo,2760,MESSINA,ME
Sant'Angelo Muxaro,1152,AGRIGENTO,AG
Santo Stefano Di Camastra,4348,MESSINA,ME
Serradifalco,5493,CALTANISSETTA,CL
Siculiana,4161,AGRIGENTO,AG
Sommatino,6397,CALTANISSETTA,CL
Sortino,8234,SIRACUSA,SR
Spadafora,4687,MESSINA,ME
Sperlinga,674,ENNA,EN
Terme Vigliatore,7218,MESSINA,ME
Termini Imerese,24920,PALERMO,PA
Terrasini,12833,PALERMO,PA
Torregrotta,7259,MESSINA,ME
Torrenova,4492,MESSINA,ME
Torretta,4278,PALERMO,PA
Tortorici,5705,MESSINA,ME
Trabia,10561,PALERMO,PA
Trappeto,3058,PALERMO,PA
Tripi,750,MESSINA,ME
Troina,8550,ENNA,EN
Tusa,2585,MESSINA,ME
Ucria,908,MESSINA,ME
Ustica,1311,PALERMO,PA
Valderice,11480,TRAPANI,TP
Valdina,1257,MESSINA,ME
Valverde,7824,CATANIA,CT
Venetico,3940,MESSINA,ME
Ventimiglia Di Sicilia,1824,PALERMO,PA
Viagrande,8861,CATANIA,CT
Vicari,2440,PALERMO,PA
Villabate,19634,PALERMO,PA
Villafranca Sicula,1332,AGRIGENTO,AG
Villafranca Tirrena,8035,MESSINA,ME
Villafrati,3107,PALERMO,PA
Villalba,1407,CALTANISSETTA,CL
Villarosa,4377,ENNA,EN
Vita,1813,TRAPANI,TP
Zafferana Etnea,9324,CATANIA,CT
Valguarnera Caropepe,6961,ENNA,EN
Vittoria,63316,RAGUSA,RG
Vizzini,5702,CATANIA,CT
Collesano,3650,PALERMO,PA
